2021-03-22 21:03:850 INFO  HaveAQuestionPage :95 - Getting Address one error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[12]/div[3]/div[2]/label[1]]
2021-03-22 21:03:954 INFO  HaveAQuestionPage :101 - Getting Preferred Contact Method error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[17]/fieldset[1]/label[1]]
2021-03-22 21:03:49 INFO  HaveAQuestionPage :107 - Getting Your Question error message[[ChromeDriver: chrome on WINDOWS (cd550c5dc1831e9530bc8c9b4e48f955)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[16]/div[2]/label[1]]
2021-03-22 21:03:688 INFO  BrowserSelector :32 - Launching Chrome Browser
2021-03-22 21:03:883 INFO  HelpPage :29 - Clicking on help ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[2]/div[1]/ul[1]/div[1]/div[1]/li[4]'
2021-03-22 21:03:122 INFO  ManageYourInstallPage :29 - Clicking on manage your installProxy element for: DefaultElementLocator 'By.xpath: //body/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]/a[1]'
2021-03-22 21:03:180 INFO  ManageYourInstallPage :34 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //h1[contains(text(),'Manage your Install')]]
2021-03-22 21:03:591 INFO  InstallationPage :29 - Clicking on installation Button[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[1]/div[1]/ul[3]/li[1]/a[1]]
2021-03-22 21:03:681 INFO  InstallationPage :34 - Getting Installation smart meter text[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //h1[contains(text(),'Installing your Smart Meter')]]
2021-03-22 21:03:76 INFO  SendUsAnEmailPage :26 - Clicking on Send us an email Button[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body[1]/div[2]/div[2]/div[1]/div[1]/section[1]/ul[1]/li[1]/a[1]]
2021-03-22 21:03:688 INFO  HaveAQuestionPage :56 - Clicking on Have a question ButtonProxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Have a question about your install?')]'
2021-03-22 21:03:748 INFO  HaveAQuestionPage :60 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //h1[contains(text(),'Have a question about your install?')]]
2021-03-22 21:03:04 INFO  HaveAQuestionPage :67 - selecting question about my install option[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body[1]/section[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/select[1]]
2021-03-22 21:03:551 INFO  HaveAQuestionPage :73 - Clicking on Submit Button[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[20]/div[2]/input[1]]
2021-03-22 21:03:609 INFO  HaveAQuestionPage :79 - Getting title error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[3]/div[2]/label[1]]
2021-03-22 21:03:719 INFO  HaveAQuestionPage :84 - Getting First name error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[4]/div[2]/label[1]]
2021-03-22 21:03:853 INFO  HaveAQuestionPage :89 - Getting Last name error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[5]/div[2]/label[1]]
2021-03-22 21:03:952 INFO  HaveAQuestionPage :95 - Getting Address one error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[12]/div[3]/div[2]/label[1]]
2021-03-22 21:03:29 INFO  HaveAQuestionPage :101 - Getting Preferred Contact Method error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[17]/fieldset[1]/label[1]]
2021-03-22 21:03:140 INFO  HaveAQuestionPage :107 - Getting Your Question error message[[ChromeDriver: chrome on WINDOWS (cfe7980afc724c61ab273240bf4bc374)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[16]/div[2]/label[1]]
